city,date,fare,ride_id,driver_count,type
Lake Jonathanshire,1/14/2019 10:14,13.83,5740000000000.0,5,Urban
South Michelleport,3/4/2019 18:24,30.24,2340000000000.0,72,Urban
Port Samanthamouth,2/24/2019 4:29,33.44,2010000000000.0,57,Urban
Rodneyfort,2/10/2019 23:22,23.44,5150000000000.0,34,Urban
South Jack,3/6/2019 4:28,34.58,3910000000000.0,46,Urban
South Latoya,3/11/2019 12:26,9.52,2000000000000.0,10,Urban
New Paulville,2/27/2019 11:17,43.25,793000000000.0,44,Urban
Simpsonburgh,4/26/2019 0:43,35.98,112000000000.0,21,Urban
South Karenland,1/8/2019 3:28,35.09,8000000000000.0,4,Urban
North Jasmine,3/9/2019 6:26,42.81,5330000000000.0,33,Urban
New Kimberlyborough,2/7/2019 1:10,9.34,7990000000000.0,33,Urban
West Angela,1/12/2019 1:45,26.86,4820000000000.0,48,Urban
Rodneyfort,3/2/2019 18:03,44.26,2490000000000.0,34,Urban
West Angela,1/10/2019 12:17,12.74,2110000000000.0,48,Urban
Roberthaven,5/4/2019 14:48,25.66,1030000000000.0,47,Urban
North Jason,3/28/2019 22:28,9.19,7010000000000.0,6,Urban
Williamsview,1/3/2019 16:19,18.93,1980000000000.0,46,Urban
Leahton,2/26/2019 18:42,8.85,6970000000000.0,17,Urban
West Anthony,3/6/2019 2:27,10.02,9400000000000.0,70,Urban
New Kimberlyborough,4/25/2019 22:58,29.67,4820000000000.0,33,Urban
Roberthaven,2/24/2019 10:26,7.8,2180000000000.0,47,Urban
New Paulton,5/1/2019 3:12,8.28,8530000000000.0,44,Urban
West Patrickchester,3/19/2019 5:46,40.86,899000000000.0,25,Urban
Deanville,4/25/2019 3:29,41.52,6060000000000.0,49,Urban
West Josephberg,2/19/2019 16:22,36.39,3320000000000.0,45,Urban
West Samuelburgh,5/3/2019 14:33,41.12,7330000000000.0,73,Urban
West Heidi,3/14/2019 23:46,24.4,4910000000000.0,28,Urban
Loganberg,4/1/2019 1:06,8.23,679000000000.0,23,Urban
Huntermouth,2/10/2019 23:32,25.79,1880000000000.0,37,Urban
South Latoya,1/11/2019 18:44,27.41,8660000000000.0,10,Urban
New Paulville,3/18/2019 22:54,25.05,5030000000000.0,44,Urban
Grahamburgh,1/15/2019 11:44,40.69,307000000000.0,61,Urban
Port Frank,2/2/2019 14:14,41.47,6750000000000.0,23,Urban
East Kaylahaven,2/28/2019 4:13,25.96,3660000000000.0,65,Urban
Rodneyfort,2/3/2019 0:48,44.86,2330000000000.0,34,Urban
South Karenland,2/12/2019 6:52,36.01,4020000000000.0,4,Urban
West Robert,2/15/2019 4:21,12.28,1440000000000.0,39,Urban
North Markport,2/18/2019 8:17,38.09,925000000000.0,22,Urban
Williamsview,3/12/2019 6:47,8.35,1940000000000.0,46,Urban
Richardfort,2/24/2019 8:40,13.93,5630000000000.0,38,Urban
New Kimberlyborough,3/14/2019 16:47,27.9,6750000000000.0,33,Urban
Reynoldsfurt,3/25/2019 14:33,34.06,6600000000000.0,67,Urban
South Karenland,5/8/2019 2:31,41.33,5690000000000.0,4,Urban
Rodneyfort,4/25/2019 20:57,21.7,8530000000000.0,34,Urban
Justinberg,4/23/2019 8:59,14.65,9880000000000.0,39,Urban
West Josephberg,3/5/2019 3:27,12.91,103000000000.0,45,Urban
South Karenland,3/3/2019 14:48,37.3,4100000000000.0,4,Urban
Leahton,5/5/2019 10:34,17.05,5850000000000.0,17,Urban
Martinezhaven,3/19/2019 15:31,5.3,264000000000.0,25,Urban
North Jason,3/3/2019 2:13,28.02,2670000000000.0,6,Urban
Jerryton,3/3/2019 17:50,28.08,6000000000000.0,64,Urban
Lake Scottton,2/18/2019 9:22,25.02,3910000000000.0,58,Urban
South Evanton,2/14/2019 5:55,42.5,9950000000000.0,11,Urban
Rogerston,5/8/2019 1:54,32.69,1640000000000.0,25,Urban
West Samuelburgh,5/2/2019 13:55,38.77,2930000000000.0,73,Urban
West Ericstad,4/24/2019 3:20,7.31,4290000000000.0,25,Urban
New Paulville,3/10/2019 10:45,4.43,1210000000000.0,44,Urban
Hurleymouth,5/4/2019 21:50,21.44,4040000000000.0,36,Urban
West Samuelburgh,3/3/2019 3:17,25.17,1780000000000.0,73,Urban
Joneschester,3/1/2019 18:48,34.71,3340000000000.0,39,Urban
New Paulville,4/3/2019 7:51,32.7,9560000000000.0,44,Urban
Simpsonburgh,1/19/2019 23:06,15.83,233000000000.0,21,Urban
Port Angela,4/17/2019 6:23,16.34,7120000000000.0,67,Urban
West Ericstad,4/4/2019 13:03,28.52,6430000000000.0,25,Urban
New Kimberlyborough,3/16/2019 1:38,17.19,2770000000000.0,33,Urban
